pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
147.725,-71.545,180.0,top,C1,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
147.725,-77.545,180.0,top,C2,,,CP_Radial_D5.0mm_P2.50mm,100µF,tht
159.725,-77.545,180.0,top,C3,,,CP_Radial_D5.0mm_P2.50mm,100µF,tht
157.225,-71.545,0.0,top,C4,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
152.725,-107.545,90.0,top,C5,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,470nF,tht
109.725,-90.545,0.0,top,F1,,,Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal,T4A,tht
129.225,-64.545,0.0,top,J1,,,PinHeader_1x01_P2.54mm_Vertical,To Data Recorder,tht
96.515,-94.445,90.0,top,J2,,,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,12VDC In,tht
159.725,-64.545,180.0,top,J3,,,JST_VH_B6P-VH_1x06_P3.96mm_Vertical,To Motherboard,tht
145.725,-121.545,0.0,top,J4,,,PinHeader_1x01_P2.54mm_Vertical,Ground Strap,tht
160.725,-107.545,90.0,top,L1,,,22R683C,68µH,tht
139.725,-88.465,-90.0,top,U1,,,TO-220-3_Horizontal_TabDown,PSU2-5,tht
137.915,-109.295,0.0,top,U2,NKE1212SC,,NKE1212SC,NKE1212SC,tht
